DSB repair/PC/,DSB repair/PCW/,DSB repair/NC/,DSB repair/NCW/,DSB repair/PA/,DSB repair/PAW/,DSB repair/NA/,DSB repair/NAW/,APOBEC-C/PC/,APOBEC-C/PCW/,APOBEC-C/NC/,APOBEC-C/NCW/,APOBEC-C/PA/,APOBEC-C/PAW/,APOBEC-C/NA/,APOBEC-C/NAW/,SBS1/PC/,SBS1/PCW/,SBS1/NC/,SBS1/NCW/,SBS1/PA/,SBS1/PAW/,SBS1/NA/,SBS1/NAW/,APOBEC-D/PC/,APOBEC-D/PCW/,APOBEC-D/NC/,APOBEC-D/NCW/,APOBEC-D/PA/,APOBEC-D/PAW/,APOBEC-D/NA/,APOBEC-D/NAW/,SBS5/PC/,SBS5/PCW/,SBS5/NC/,SBS5/NCW/,SBS5/PA/,SBS5/PAW/,SBS5/NA/,SBS5/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,SBS8/PA/,SBS8/PAW/,SBS8/NA/,SBS8/NAW/,SBS8/PC/,SBS8/PCW/,SBS8/NC/,SBS8/NCW/,HRD status/PA/,HRD status/PAW/,HRD status/NA/,HRD status/NAW/
,,,,PSME2,0.004961356,RBBP8,-0.00461207,,,,,SEC23A,0.002147919,,,,,,,KIF26A,0.003292009,AZGP1,-0.003501075,,,,,RAB34,0.004711893,CTSH,-0.007039993,,,,,POLA1,0.002807574,GAS6,-0.00687786,,,,,CD276,0.005241825,RILP,-0.007548593,,,,,PPP5C,0.005209324,SNX27,-0.001000127
,,,,CDCA5,0.004942477,DCTN5,-0.003867067,,,,,PSMB4,0.001861095,,,,,,,THAP9,0.003167539,CHD1L,-0.003289849,,,,,ATP11C,0.004628806,EDN1,-0.00696199,,,,,SKAP2,0.00280629,HLA-DQA1,-0.00654323,,,,,MT2A,0.00502011,KIF2C,-0.007466426,,,,,UIMC1,0.005103181,MSH3,-0.000854133
,,,,TRAF3IP2,0.004893248,ERI2,-0.003377687,,,,,HELQ,0.001777679,,,,,,,ZBP1,0.003150958,AQP4,-0.003263772,,,,,SMG7,0.004535633,MAPKAPK5,-0.006900274,,,,,ACTL6A,0.002688815,AIMP1,-0.006386055,,,,,CTSB,0.004768997,TNFSF13B,-0.006979061,,,,,LTB4R,0.004288547,EXOSC10,-0.000591349
,,,,DNMT1,0.004879448,ASH2L,-0.002868634,,,,,RPA2,0.001447228,,,,,,,GNL3L,0.002669997,RELT,-0.002799946,,,,,CCNE1,0.00453004,SLC30A9,-0.006518034,,,,,GATAD2A,0.002650365,TIRAP,-0.005920376,,,,,IRF1,0.004550874,VPRBP,-0.006940187,,,,,TRIM13,0.003513593,AP1S1,-0.000547033
,,,,DYNC1H1,0.004671755,IGBP1,-0.0028006,,,,,ATF7IP,0.001293162,,,,,,,CHRAC1,0.002528914,DNM2,-0.002667681,,,,,CCT7,0.004199557,SEC13,-0.006489717,,,,,WDR18,0.002631083,BMPR2,-0.005812855,,,,,CTSH,0.004394735,CTNNB1,-0.006820061,,,,,IRF8,0.003354493,FANCL,-0.000491971
,,,,GLRX5,0.004553688,CD3G,-0.002773999,,,,,PAK2,0.000766172,,,,,,,MCM6,0.00173391,STXBP2,-0.002577065,,,,,UIMC1,0.004192069,NEIL3,-0.006453559,,,,,PSME2,0.002276041,DOCK8,-0.005707379,,,,,TBK1,0.004231711,IFIT2,-0.006498098,,,,,NOP10,0.002716113,,
,,,,VCP,0.004489688,TRPM4,-0.002407359,,,,,BCL6,0.000573957,,,,,,,RFWD3,0.001525402,MAP3K5,-0.002006728,,,,,FLVCR1,0.003926108,NPLOC4,-0.006440387,,,,,ATR,0.002258333,FLCN,-0.005341562,,,,,TNFRSF1A,0.004224101,DCLRE1A,-0.00648172,,,,,BCAP31,0.002615026,,
,,,,ACE,0.004265633,TOP1,-0.002266512,,,,,PTTG1,0.000568917,,,,,,,POLR2D,0.001447544,ATP6V0A2,-0.001803452,,,,,SEC23A,0.003737082,ZRANB3,-0.006425121,,,,,PIAS4,0.002181044,C6orf57,-0.005328949,,,,,CREBBP,0.003945189,MUS81,-0.006391237,,,,,SEC13,0.002552041,,
,,,,SIX4,0.004083345,NUCKS1,-0.001890901,,,,,SHMT2,0.000509489,,,,,,,PARN,0.001279283,CCR5,-0.001685981,,,,,PSMB1,0.003250428,GNL3,-0.006419471,,,,,ATG12,0.002044982,XRCC6,-0.005276418,,,,,ESAM,0.003875861,ILF2,-0.006362275,,,,,MSH4,0.001844485,,
,,,,NCK2,0.00390523,TNFSF13,-0.001702571,,,,,LGMN,0.000325575,,,,,,,PSMD2,0.001174069,IL27RA,-0.001246641,,,,,RCHY1,0.003165768,CD5,-0.006373338,,,,,UBE2N,0.002034805,RNF19B,-0.005174133,,,,,TAZ,0.003853317,LIG4,-0.006043644,,,,,ANKRD17,0.001671681,,
,,,,TATDN2,0.00372882,WIPF2,-0.001539746,,,,,,,,,,,,,CCR8,0.001098818,IFNGR1,-0.000836043,,,,,AP2S1,0.002801558,HLA-DPB1,-0.006059838,,,,,SLAMF6,0.001773543,LCP1,-0.005056996,,,,,MPHOSPH8,0.003786704,IMPDH2,-0.005891126,,,,,MAP2K1,0.001366429,,
,,,,LMO4,0.003332467,LRRC33,-0.001507901,,,,,,,,,,,,,CDK2,0.000614037,STXBP3,-0.000497475,,,,,IKBKB,0.002593798,CHRAC1,-0.005887335,,,,,ITCH,0.001762935,FCGR2A,-0.00502201,,,,,YES1,0.003755169,NCKIPSD,-0.005825427,,,,,HCK,0.001178905,,
,,,,PPP1R10,0.002897151,LY9,-0.001238824,,,,,,,,,,,,,FLI1,0.000548952,MCM9,-0.000291253,,,,,LYST,0.002570233,IRAK4,-0.005833128,,,,,SLC11A2,0.001645264,APTX,-0.004816332,,,,,JMJD6,0.00372703,ERCC3,-0.005774861,,,,,TRIM32,0.001093764,,
